Brand,CPU,RAM,Width,SSD,Price
acer,Intel Core i7,16.0,15.6,512.0,519990
acer,Intel Core i5,16.0,15.6,512.0,439990
acer,Intel Core i7,32.0,15.6,512.0,526441
dell,Intel Core i7,16.0,15.6,512.0,473260
acer,Intel Core i7,16.0,15.6,512.0,519990
acer,Intel Core i5,16.0,15.6,512.0,439990
acer,Intel Core i7,32.0,15.6,512.0,526286
asus,AMD Ryzen 5,8.0,16.0,512.0,429890
asus,Intel Core i5,16.0,17.3,512.0,418999
lenovo,AMD Ryzen 5,16.0,14.0,512.0,226799
lenovo,AMD Ryzen 5,16.0,16.0,512.0,314550
huawei,Intel Core i5,16.0,16.0,512.0,349590
asus,Intel Core i5,8.0,14.5,512.0,550000
lenovo,Intel Core i9,32.0,14.5,1024.0,997790
acer,AMD Ryzen 5,16.0,15.6,512.0,234990
acer,Intel Core i7,16.0,15.6,512.0,309000
acer,Intel Core i7,32.0,15.6,1024.0,369000
gigabyte,Intel Core i7,16.0,16.0,1000.0,599968
asus,Intel Core i5,16.0,15.6,512.0,269990
asus,Intel Core i7,16.0,17.3,512.0,395988
lenovo,Intel Core i5,32.0,14.0,1024.0,492690
lenovo,AMD Ryzen 7,16.0,14.5,1024.0,612090
asus,Intel Core i3,8.0,15.6,512.0,229990
hp,Intel Core Ultra 7,32.0,14.0,2000.0,819990
asus,Intel Core i5,16.0,15.6,512.0,339000
asus,Intel Core i5,16.0,14.0,512.0,519990
huawei,AMD Ryzen 7,8.0,15.6,512.0,259990
asus,Intel Core Ultra 9,32.0,16.0,2000.0,1699990
